,0,1
985,tantrums,1
986,leave,40
987,wouldn,2
988,anything,28
989,prayers,10
990,repent,2
991,permitted,4
992,chimney,2
993,fetch,22
994,went,103
995,shutting,4
996,locking,1
997,square,8
998,chamber,21
999,seldom,10
1000,slept,4
1001,unless,6
1002,chance,11
1003,influx,1
1004,visitors,6
1005,gateshead,38
1006,hall,60
1007,accommodation,1
1008,largest,1
1009,stateliest,1
1010,chambers,11
1011,mansion,6
1012,bed,56
1013,supported,6
1014,massive,3
1015,pillars,1
1016,mahogany,3
1017,hung,9
1018,deep,18
1019,damask,1
1020,tabernacle,1
1021,centre,4
1022,blinds,1
1023,shrouded,2
1024,festoons,1
1025,falls,1
1026,similar,3
1027,carpet,9
1028,foot,13
1029,covered,12
1030,crimson,9
1031,cloth,3
1032,walls,13
1033,soft,13
1034,fawn,1
1035,colour,9
1036,blush,1
1037,pink,5
1038,wardrobe,5
1039,toilet-table,3
1040,chairs,11
1041,polished,4
1042,shades,4
1043,rose,47
1044,high,25
1045,glared,1
1046,white,38
1047,piled-up,2
1048,mattresses,2
1049,pillows,4
1050,spread,11
1051,snowy,6
1052,marseilles,1
1053,counterpane,1
1054,scarcely,28
1055,prominent,5
1056,ample,5
1057,cushioned,2
1058,easy-chair,5
1059,footstool,3
1060,throne,2
1061,chill,8
1062,fire,68
1063,remote,6
1064,kitchen,12
1065,solemn,8
1066,known,8
1067,entered,34
1068,house-maid,1
1069,saturdays,1
1070,wipe,3
1071,mirrors,4
1072,furniture,10
1073,quiet,31
1074,dust,4
1075,herself,42
1076,visited,2
1077,review,1
1078,contents,14
1079,secret,9
1080,drawer,11
1081,divers,2
1082,parchments,1
1083,jewel-casket,1
1084,miniature,5
1085,deceased,1
1086,husband,11
1087,lies,7
1088,red-room—the,1
1089,spell,6
1090,kept,29
1091,lonely,11
1092,spite,5
1093,grandeur,3
1094,nine,16
1095,breathed,6
1096,state,19
1097,hence,2
1098,coffin,3
1099,undertaker,1
1100,men,16
1101,sense,29
1102,consecration,1
1103,guarded,1
1104,frequent,6
1105,intrusion,1
1106,bitter,9
1107,riveted,2
1108,ottoman,2
1109,marble,11
1110,chimney-piece,2
1111,dark,56
1112,subdued,6
1113,reflections,5
1114,varying,1
1115,gloss,1
1116,panels,4
1117,muffled,4
1118,looking-glass,2
1119,between,39
1120,repeated,13
1121,vacant,9
1122,majesty,3
1123,whether,36
1124,locked,8
1125,dared,19
1126,move,10
1127,alas,2
1128,yes,92
1129,jail,2
1130,secure,7
1131,returning,5
1132,cross,9
1133,fascinated,2
1134,glance,15
1135,involuntarily,5
1136,explored,1
1137,depth,7
1138,revealed,4
1139,colder,2
1140,darker,2
1141,visionary,2
1142,hollow,7
1143,reality,3
1144,figure,17
1145,gazing,5
1146,specking,1
1147,gloom,8
1148,glittering,2
1149,moving,3
1150,else,19
1151,effect,6
1152,real,11
1153,spirit,21
1154,tiny,4
1155,imp,1
1156,evening,45
1157,stories,7
1158,represented,5
1159,lone,1
1160,ferny,1
1161,dells,1
1162,moors,2
1163,appearing,2
1164,belated,2
1165,travellers,2
1166,superstition,1
1167,complete,11
1168,victory,4
1169,warm,16
1170,mood,9
1171,revolted,1
1172,bracing,1
1173,vigour,5
1174,stem,1
1175,rapid,3
1176,rush,3
1177,retrospective,1
1178,quailed,1
1179,dismal,1
1180,present,27
1181,violent,3
1182,tyrannies,1
1183,proud,6
1184,indifference,6
1185,aversion,4
1186,partiality,1
1187,disturbed,6
1188,deposit,1
1189,turbid,2
1190,why,55
1191,browbeaten,1
1192,accused,4
1193,condemned,3
1194,please,24
1195,useless,6
1196,win,4
1197,favour,3
1198,headstrong,2
1199,selfish,2
1200,respected,3
1201,spoiled,3
1202,temper,6
1203,acrid,2
1204,captious,1
1205,insolent,2
1206,carriage,16
1207,universally,2
1208,indulged,5
1209,beauty,16
1210,golden,3
1211,curls,15
1212,seemed,116
1213,give,47
1214,delight,14
1215,purchase,2
1216,indemnity,1
1217,fault,10
1218,thwarted,3
1219,twisted,3
1220,necks,1
1221,pigeons,1
1222,killed,3
1223,pea-chicks,1
1224,set,29
1225,dogs,1
1226,sheep,4
1227,stripped,3
1228,hothouse,1
1229,vines,1
1230,fruit,3
1231,broke,13
1232,buds,1
1233,choicest,1
1234,plants,5
1235,conservatory,2
1236,reviled,1
1237,bluntly,1
1238,disregarded,2
1239,wishes,10
1240,unfrequently,4
1241,tore,3
1242,silk,11
1243,attire,6
1244,darling,4
1245,commit,4
1246,strove,2
1247,fulfil,1
1248,duty,9
1249,termed,4
1250,naughty,7
1251,tiresome,3
1252,sullen,2
1253,noon,8
1254,night,70
1255,ached,2
1256,fall,15
1257,reproved,1
1258,wantonly,1
1259,avert,3
1260,farther,10
1261,irrational,1
1262,violence,5
1263,loaded,1
1264,general,13
1265,opprobrium,1
1266,unjust,4
1267,—unjust,1
1268,reason,13
1269,forced,6
1270,agonising,1
1271,stimulus,3
1272,precocious,2
1273,transitory,3
1274,power,21
1275,resolve,1
1276,equally,6
1277,wrought,7
1278,instigated,1
1279,expedient,2
1280,achieve,2
1281,escape,2
1282,insupportable,3
1283,oppression—as,1
1284,running,17
1285,effected,3
1286,eating,2
1287,drinking,1
1288,letting,2
1289,die,16
1290,consternation,1
1291,soul,16
1292,brain,10
1293,tumult,7
1294,insurrection,1
1295,darkness,11
1296,dense,2
1297,ignorance,5
1298,mental,4
1299,battle,2
1300,fought,2
1301,inward,6
1302,question—why,1
1303,suffered,7
1304,of—i,1
1305,many,46
1306,clearly,7
1307,discord,1
1308,nobody,7
1309,harmony,2
1310,chosen,6
1311,vassalage,1
1312,bound,10
1313,regard,6
1314,sympathise,2
1315,amongst,16
1316,heterogeneous,1
1317,opposed,2
1318,temperament,1
1319,capacity,3
1320,propensities,2
1321,incapable,4
1322,serving,1
1323,interest,18
1324,adding,4
1325,pleasure,34
1326,noxious,3
1327,cherishing,3
1328,germs,2
1329,indignation,4
1330,treatment,4
1331,contempt,2
1332,judgment,8
1333,sanguine,1
1334,brilliant,13
1335,careless,9
1336,exacting,3
1337,handsome,19
1338,romping,1
1339,child—though,1
1340,friendless—mrs,1
1341,endured,3
1342,complacently,1
1343,entertained,2
